ID1,ID2,EdgeType,Score,Annotation
21313,21318,MS1 annotation,2.000,[M+H]+ [M+Na]+ dm/z=21.9817
21421,21428,MS1 annotation,3.000,[M+H]+ [M+NH4]+ dm/z=17.0268
21421,21438,MS1 annotation,3.000,[M+Na]+ [M+NH4]+ dm/z=4.9552
22060,22066,MS1 annotation,3.000,[M+H]+ [M+NH4]+ dm/z=17.0267
22060,22061,MS1 annotation,3.000,[M+Na]+ [M+NH4]+ dm/z=4.9554
22061,22066,MS1 annotation,3.000,[M+H]+ [M+Na]+ dm/z=21.9821
22588,22594,MS1 annotation,2.000,[M+NH4]+ [M+Na]+ dm/z=4.9554
22718,22729,MS1 annotation,2.000,[M+NH4]+ [M+Na]+ dm/z=4.9555
23070,23096,MS1 annotation,3.000,[M+NH4]+ [M+H]+ dm/z=17.0269
23070,23084,MS1 annotation,3.000,[M+Na]+ [M+H]+ dm/z=21.9823
23084,23096,MS1 annotation,3.000,[M+NH4]+ [M+Na]+ dm/z=4.9554
23179,23180,MS1 annotation,2.000,[M+Na]+ [M+NH4]+ dm/z=4.9554
23436,23445,MS1 annotation,2.000,[M+H]+ [M+Na]+ dm/z=21.9820
23475,23503,MS1 annotation,2.000,[M+NH4]+ [M+Na]+ dm/z=4.9555
23592,23593,MS1 annotation,2.000,[M+Na]+ [M+NH4]+ dm/z=4.9557
23709,23721,MS1 annotation,2.000,[M+NH4]+ [M+Na]+ dm/z=4.9554
23879,23892,MS1 annotation,3.000,[M+Na]+ [M+H]+ dm/z=21.9820
23879,23895,MS1 annotation,3.000,[M+NH4]+ [M+H]+ dm/z=17.0269
23892,23895,MS1 annotation,3.000,[M+NH4]+ [M+Na]+ dm/z=4.9551
24534,24546,MS1 annotation,2.000,[M+NH4]+ [M+Na]+ dm/z=4.9551
25631,25639,MS1 annotation,3.000,[M+Na]+ [M-H2O+H]+ dm/z=39.9930
25637,25639,MS1 annotation,3.000,[M+Na]+ [M+H]+ dm/z=21.9819
25874,26521,MS1 annotation,2.000,[M+H]+ [M+Na]+ dm/z=21.9818
26427,26429,MS1 annotation,3.000,[M+Na]+ [M+H]+ dm/z=21.9818
26429,26813,MS1 annotation,3.000,[M-H2O+H]+ [M+Na]+ dm/z=39.9921
28469,28925,MS1 annotation,2.000,[M-H2O+H]+ [M+NH4]+ dm/z=35.0373
29017,29051,MS1 annotation,2.000,[M+NH4]+ [M+H]+ dm/z=17.0265
29208,29823,MS1 annotation,2.000,[M+H]+ [M+NH4]+ dm/z=17.0264
30048,30174,MS1 annotation,2.000,[2M+H]+ [M+NH4]+ dm/z=122.1090
30447,30461,MS1 annotation,3.000,[M+Na]+ [2M+H]+ dm/z=202.2070
30461,30468,MS1 annotation,3.000,[M+H]+ [M+Na]+ dm/z=21.9817
30813,30828,MS1 annotation,2.000,[M+Na]+ [M+H]+ dm/z=21.9820
30887,31252,MS1 annotation,2.000,[M+H]+ [M+Na]+ dm/z=21.9818
30972,30979,MS1 annotation,3.000,[M-H2O+H]+ [M+Na]+ dm/z=39.9924
30972,30977,MS1 annotation,3.000,[M+H]+ [M+Na]+ dm/z=21.9818
31118,31141,MS1 annotation,3.000,[M+H]+ [M+Na]+ dm/z=21.9820
31132,31141,MS1 annotation,3.000,[M+H]+ [M+NH4]+ dm/z=17.0265
31731,31743,MS1 annotation,2.000,[M+Na]+ [M-H2O+H]+ dm/z=39.9923
31790,31792,MS1 annotation,2.000,[M+H]+ [M+Na]+ dm/z=21.9826
31930,31943,MS1 annotation,2.000,[M+Na]+ [M+H]+ dm/z=21.9816
32239,32266,MS1 annotation,2.000,[M+NH4]+ [M+Na]+ dm/z=4.9562
32245,32262,MS1 annotation,2.000,[M+H]+ [M+Na]+ dm/z=21.9817
32533,32550,MS1 annotation,4.000,[2M+Na]+ [M+NH4]+ dm/z=489.2223
32549,32550,MS1 annotation,4.000,[2M+Na]+ [M+H]+ dm/z=506.2492
32550,32645,MS1 annotation,4.000,[M-H2O+H]+ [2M+Na]+ dm/z=524.2595
32588,32669,MS1 annotation,2.000,[M+NH4]+ [M+H]+ dm/z=17.0270
32876,32887,MS1 annotation,2.000,[M-H2O+H]+ [M+NH4]+ dm/z=35.0374
32907,33381,MS1 annotation,3.000,[M+NH4]+ [M+H]+ dm/z=17.0268
32907,33382,MS1 annotation,3.000,[M+Na]+ [M+H]+ dm/z=21.9821
33076,33083,MS1 annotation,2.000,[M+Na]+ [M+H]+ dm/z=21.9820
33381,33382,MS1 annotation,3.000,[M+Na]+ [M+NH4]+ dm/z=4.9554
33582,33586,MS1 annotation,2.000,[M+H]+ [M+Na]+ dm/z=21.9819
33680,34058,MS1 annotation,3.000,[M+NH4]+ [M+Na]+ dm/z=4.9552
33693,34058,MS1 annotation,3.000,[M+NH4]+ [M-H2O+H]+ dm/z=35.0373
33733,33737,MS1 annotation,3.000,[M+NH4]+ [M+Na]+ dm/z=4.9554
33733,33735,MS1 annotation,3.000,[M+H]+ [M+Na]+ dm/z=21.9817
33735,33737,MS1 annotation,3.000,[M+NH4]+ [M+H]+ dm/z=17.0264
33808,33834,MS1 annotation,2.000,[M+H]+ [M+Na]+ dm/z=21.9821
34145,34174,MS1 annotation,3.000,[M-H2O+H]+ [M+Na]+ dm/z=39.9929
34145,34160,MS1 annotation,3.000,[M+NH4]+ [M+Na]+ dm/z=4.9554
