name1,name2,name3,name4
P1706_C1_3_010_2_C,P1706_047,CCE_P1706_71,CCE_P1706_71_MSMS
P1706_C1_3_010_2_C2,P1706_047,CCE_P1706_72,CCE_P1706_72_MSMS
P1706_C1_3_000_1_C,P1706_048,CCE_P1706_73,CCE_P1706_73_MSMS
P1706_C1_3_000_1_C2,P1706_048,CCE_P1706_74,CCE_P1706_74_MSMS
P1706_C2_1_100_6_C,P1706_049,CCE_P1706_75,CCE_P1706_75_MSMS
P1706_C2_1_100_6_C2,P1706_049,CCE_P1706_76,CCE_P1706_76_MSMS
P1706_C2_1_070_5_C,P1706_050,CCE_P1706_77,CCE_P1706_77_MSMS
P1706_C2_1_070_5_C2,P1706_050,CCE_P1706_78,CCE_P1706_78_MSMS
P1706_C2_1_038_4_C,P1706_051,CCE_P1706_79,CCE_P1706_79_MSMS
P1706_C2_1_038_4_C2,P1706_051,CCE_P1706_80,CCE_P1706_80_MSMS
P1706_C2_1_018_3_C,P1706_052,CCE_P1706_81,CCE_P1706_81_MSMS
P1706_C2_1_018_3_C2,P1706_052,CCE_P1706_82,CCE_P1706_82_MSMS
P1706_C2_1_012_2_C,P1706_053,CCE_P1706_83,CCE_P1706_83_MSMS
P1706_C2_1_012_2_C2,P1706_053,CCE_P1706_84,CCE_P1706_84_MSMS
P1706_C2_1_000_1_C,P1706_054,CCE_P1706_85,CCE_P1706_85_MSMS
P1706_C2_1_000_1_C2,P1706_054,CCE_P1706_86,CCE_P1706_86_MSMS
P1706_C2_2_100_6_C,P1706_055,CCE_P1706_87,CCE_P1706_87_MSMS
P1706_C2_2_100_6_C2,P1706_055,CCE_P1706_88,CCE_P1706_88_MSMS
P1706_C2_2_070_5_C,P1706_056,CCE_P1706_89,CCE_P1706_89_MSMS
P1706_C2_2_070_5_C2,P1706_056,CCE_P1706_90,CCE_P1706_90_MSMS
P1706_C2_2_038_4_C,P1706_057,CCE_P1706_91,CCE_P1706_91_MSMS
P1706_C2_2_038_4_C2,P1706_057,CCE_P1706_92,CCE_P1706_92_MSMS
P1706_C2_2_020_3_C,P1706_058,CCE_P1706_93,CCE_P1706_93_MSMS
P1706_C2_2_020_3_C2,P1706_058,CCE_P1706_94,CCE_P1706_94_MSMS
P1706_C2_2_012_2_C,P1706_059,CCE_P1706_95,CCE_P1706_95_MSMS
P1706_C2_2_012_2_C2,P1706_059,CCE_P1706_96,CCE_P1706_96_MSMS
P1706_C2_2_001_1_C,P1706_060,CCE_P1706_97,CCE_P1706_97_MSMS
